id y x1 x2 x3
1	-47.17	0.50	-3066	8.97
2	-68.19	1.10	-3960	8.15
3	17.33	2.04	-916	2.86
4	64.22	3.29	-110	2.25
5	-39.76	4.38	-2343	6.80
6	-43.54	5.22	-2586	1.14
7	21.25	6.37	-943	8.15
8	-37.24	7.68	-2873	8.43
9	128.41	8.61	-1103	7.74
10	-0.40	9.72	-30	7.48
11	86.26	10.13	1064	2.79
12	-270.67	11.53	-2107	9.25
13	-19.08	12.63	-2147	2.77
14	-29.96	13.25	-1615	4.21
15	-133.24	14.89	-3191	9.20
16	54.34	15.66	-1061	1.41
17	10.78	16.35	51	4.82
18	-43.97	17.70	-1458	8.03
19	-64.48	18.54	268	6.54
20	-6.41	19.75	-1397	0.58
21	79.94	20.11	694	1.91
22	79.29	21.87	-1982	3.43
23	84.43	22.70	926	8.75
24	75.57	23.04	1094	8.95
25	-74.65	24.29	1693	7.90
26	-191.73	25.61	-1799	0.50
27	-62.57	26.70	-2266	3.90
28	57.03	27.69	2359	7.44
29	-39.83	28.93	-999	3.49
30	-9.54	29.77	-923	2.75
31	-13.65	30.32	1039	5.46
32	18.01	31.25	2088	5.50
33	35.25	32.42	3080	7.61
34	94.00	33.86	1890	2.76
35	6.56	34.76	1459	7.70
36	-20.43	35.99	508	3.25
37	-181.32	36.20	484	6.99
38	-52.37	38.00	2923	1.96
39	19.44	38.25	3594	8.00
40	25.88	39.69	1177	8.09
41	-40.41	40.94	-645	9.09
42	-37.75	41.68	366	6.35
43	-19.84	42.56	1066	5.46
44	83.12	43.44	3436	2.57
45	-104.96	44.14	178	9.52
46	17.48	45.33	2711	4.83
47	-5.41	46.50	1927	4.14
48	17.55	47.81	2159	9.24
49	-2.80	48.12	2028	6.60
50	54.54	49.83	3771	2.53
51	-69.49	50.74	1108	6.37
52	86.70	51.82	5173	6.11
53	-1.79	52.99	3078	1.09
54	5.67	53.77	2661	2.44
55	-23.64	54.29	2540	0.57
56	27.69	55.41	3814	8.89
57	-44.36	56.25	1672	4.41
58	-36.27	57.71	1837	5.61
59	-26.31	58.85	4598	3.00
60	-129.40	59.92	3476	5.46
